ID,Location,Price_m,Price,Area,Construction,Parking,Warehouse,Elevator,Floor,Room
"722","گلشهر","9.077","1180.0","130","1398","OK","OK","OK","۳","۲"
"723","گلشهر","16.814","1849.5","110","1395","OK","OK","OK","۳","۲"
"724","گلشهر","12.794","870.0","68","1397","X","OK","OK","۳","۱"
"725","گلشهر","12.414","1440.0","116","1399","OK","OK","OK","۲","۲"
"726","گلشهر","23.158","2200.0","95","1397","OK","OK","OK","۱","۲"
"727","گلشهر","12.115","1260.0","104","1399","OK","OK","OK","۵","۲"
"728","گلشهر","12.636","1390.0","110","1399","OK","OK","OK","۳ از ۵","۲"
"729","گلشهر","10.593","1430.0","135","1396","OK","OK","OK","۴ از ۵","۳"
"730","گلشهر","10.0","1470.0","147","1398","OK","OK","OK","۲","۳"
"731","گلشهر","10.0","870.0","87","1396","OK","OK","OK","۱","۲"
"732","گلشهر","10.609","1220.0","115","1398","OK","OK","OK","۱ از ۵","۲"
"733","گلشهر","13.0","1820.0","140","1400","OK","OK","OK","۴ از ۵","۲"
"734","گلشهر","16.0","1760.0","110","1400","OK","OK","OK","۳ از ۵","۲"
"735","گلشهر","11.0","1177.0","107","1395","OK","OK","OK","۲ از ۴","۲"
"736","گلشهر","15.972","1150.0","72","1395","OK","OK","OK","۲ از ۴","۲"
"737","گلشهر","12.5","1400.0","112","1399","X","OK","OK","۲","۲"
"738","گلشهر","12.2","1403.0","115","1400","OK","OK","OK","۲","۲"
"739","گلشهر","11.993","1799.0","150","1400","OK","OK","OK","۴","۳"
"740","گلشهر","21.5","2064.0","96","1400","OK","OK","OK","۴","۲"
"741","گلشهر","18.571","1820.0","98","1400","OK","OK","OK","۲ از ۸","۲"
"742","گلشهر","8.621","1250.0","145","1400","OK","OK","OK","۴","۲"
"743","گلشهر","11.682","1250.0","107","1400","OK","OK","OK","۲","۲"
"744","گلشهر","9.794","950.0","97","1395","OK","OK","OK","۳ از ۷","۲"
"745","گلشهر","10.0","550.0","55","1395","OK","OK","OK","۴ از ۵","۱"
"746","گلشهر","11.958","1435.0","120","1400","OK","OK","OK","۵","۲"
"747","گلشهر","10.585","995.0","94","1397","OK","OK","OK","۲","۲"
"748","گلشهر","8.941","760.0","85","1395","X","OK","OK","۶ از ۶","۲"
"749","گلشهر","20.0","2240.0","112","1399","OK","OK","OK","۵ از ۵","۳"
"750","گلشهر","9.522","857.0","90","1397","OK","OK","OK","۴","۲"
"751","گلشهر","8.875","710.0","80","1396","X","OK","OK","۱ از ۶","۲"
"752","گلشهر","26.0","3952.0","152","1398","OK","OK","OK","۶ از ۶","۳"
"753","گلشهر","18.182","2000.0","110","1400","OK","OK","OK","۳","۲"
"754","گلشهر","11.0","715.0","65","1395","OK","OK","OK","۱","۱"
"755","گلشهر","19.388","1900.0","98","1400","OK","OK","OK","۱","۲"
"756","گلشهر","15.0","3000.0","200","1399","OK","OK","OK","۱ از ۶","۳"
"757","گلشهر","8.095","850.0","105","1396","OK","OK","OK","۵ از ۵","۲"
